Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Average.Packet.Size,SYN.Flag.Count,ACK.Flag.Count,PSH.Flag.Count,ProtocolName
53,17,119990630.0,1448.0,700.0,57272.0,88736.0,67.9897579143,0,0,0,DNS
20,6,1.2681952249,2.1394669945,0.0,8.4789085497,0.0,10.9056718782,0,1,0,FTP_DATA
59917,6,3960.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
53,17,131154575.5542364,577.0314408341,267.2020122434,21994.6101235416,33250.5399451542,68.3475836274,0,0,0,DNS
0,0,243.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
20,6,1495.2163758293,4.0242910136,0.0,30.6577521169,0.0,6.8921900844,0,1,0,FTP_DATA
20,6,3988.238751252,2.2628879773,0.0,13.4808624357,0.0,10.7092935399,0,1,0,FTP_DATA
20,6,407928.1717151168,5.0889006638,8.7609804421,1222.3732470248,423.9249787936,119.1765439431,0,1,1,FTP_DATA
20,6,400493.029725156,6.945000351,13.8344561501,4453.4032501311,1410.2091023705,219.8530020087,0,1,1,FTP_DATA
0,0,254.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,163.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,87852.0,1.0,1.0,6.0,31.0,21.5,0,1,0,SSL
20,6,482351.8476793593,8.2738801139,11.3905495072,5608.524486264,250.8162225343,345.717655393,0,1,1,FTP_DATA
53,17,119958953.0,2972.0,1146.0,111792.0,124219.0,57.3404565323,0,0,0,DNS
20,6,84.6621353652,1.1665185898,3.7534544874,0.0,0.0,0.0,0,1,0,FTP_DATA
0,1,473.4487136935,3.173199453,3.0334879594,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,20506711.0,13.0,10.0,1466.0,516.0,86.1739130435,0,0,1,GMAIL
48602,6,838249.0,12.0,13.0,5204.0,450.0,226.16,0,1,1,GMAIL
22,6,22061396.96985432,13.5097849718,6.1747076179,2540.9365175481,78.4397142719,111.32939573,1,1,1,SSH
52640,6,259.0,2.0,0.0,0.0,0.0,0.0,0,1,0,HTTP
3128,6,12111758.0,35.0,171.0,2296.0,191304.0,939.8058252427,0,0,1,GMAIL
53,17,122815787.35120974,641.9021821942,606.8877316153,23270.6561457552,88679.8856564961,86.9735241078,0,1,0,DNS
53,17,119992323.0,2047.0,2031.0,76390.0,225745.0,74.0978420795,0,0,0,DNS
22,6,20587664.5166227,1.6267822523,0.0,650.8242541106,0.0,444.1653090856,1,1,0,SSH
443,6,15189639.0,42.0,37.0,36554.0,7900.0,562.7088607595,0,0,1,SSL
32960,6,20.0,2.0,0.0,0.0,0.0,0.0,0,1,0,SSL
20,6,4453.4698651061,2.3458662676,0.0,7.5738278452,0.0,1.5845022468,0,1,0,FTP_DATA
20,6,67.9655753908,2.3607575888,0.0,12.1137656689,0.0,7.8169863909,0,1,0,FTP_DATA
53,17,119710259.0,1955.0,843.0,76532.0,109667.0,66.6107934239,0,0,0,DNS
3128,6,1518086.0,41.0,44.0,2701.0,62723.0,769.6941176471,0,0,1,GMAIL
65103,6,3.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
443,6,3899886.0,13.0,12.0,3186.0,1880.0,202.64,0,0,1,GMAIL
443,6,420770.0,15.0,10.0,1602.0,1876.0,139.12,0,0,1,SSL
3128,6,10410250.0,7.0,7.0,976.0,315.0,92.2142857143,0,0,1,GMAIL
22,6,2415714.119095927,2.3862476813,0.0,338.9816806473,0.0,330.7549408719,1,1,0,SSH
0,0,144.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,17,119001790.0,1435.0,1422.0,55325.0,148071.0,71.20476,0,0,0,DNS
55228,6,2560.0,1.0,3.0,6.0,18.0,7.5,0,1,0,HTTP
53,17,121029331.8909831,4064.2732273008,1722.3641688917,150426.239066923,231691.0695887328,69.9372860329,0,0,0,DNS
443,6,738060.0,15.0,10.0,3492.0,1910.0,216.08,0,0,1,SSL
20,6,37.9638618225,1.8188991192,0.0,13.1389220305,0.0,6.3344902189,0,1,0,FTP_DATA
53,17,119887207.0,323.0,194.0,12611.0,25269.0,73.3520309478,0,0,0,DNS
443,6,119262.0,1.0,1.0,0.0,0.0,0.0,0,1,0,SSL
53,17,119923942.0,1980.0,1039.0,74637.0,99476.0,57.6840013249,0,0,0,DNS
22,6,38386649.638579816,2.6604915602,0.0,876.4101464163,0.0,361.2123967597,1,1,0,SSH
53,17,113227150.74573016,1171.4960311899,691.9652640785,39391.2254022841,80223.8801070611,73.1765430251,0,1,0,DNS
55948,6,3041.0,1.0,2.0,6.0,12.0,8.0,0,1,0,HTTP
53,17,119377987.0,1168.0,507.0,46421.0,69340.0,69.1319402985,0,0,0,DNS
0,0,138.0,2.0,2.0,0.0,0.0,0.0,0,0,0,IP_ICMP
3128,6,8970643.0,19.0,23.0,3257.0,6237.0,226.0476190476,0,0,1,GMAIL
56125,6,202.0,3.0,0.0,75.0,0.0,27.0,0,1,0,HTTP
53,17,118149308.0,1289.0,439.0,50253.0,55877.0,61.4699074074,0,0,0,DNS
22,6,96306589.36734872,17.3936390584,19.8015502087,951.5895286409,433.2662082331,47.7964000862,1,1,0,SSH
3128,6,266.0,1.0,4.0,6.0,18.0,6.0,0,1,0,FTP_DATA
0,0,137.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,15253867.0,4.0,4.0,414.0,454.0,108.5,0,0,1,HTTP
3128,6,90500277.0,34.0,50.0,1228.0,52528.0,645.1666666667,1,1,0,GMAIL
53,17,123539542.36776064,469.2506707448,541.0676637718,18570.8112776866,63571.218117611,85.1575683567,0,1,0,DNS
51720,6,76645801.0,91.0,56.0,35398.0,50234.0,583.0,1,1,0,SSL
53,17,82800318.21297933,4.2954031216,0.0,177.2799132684,0.0,61.5642424644,0,0,0,DNS
54745,6,670.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
22,6,52883204.740729615,8.7104574762,0.0,2224.7734772908,0.0,278.2877663853,1,1,0,SSH
3128,6,2427.0,2.0,0.0,12.0,0.0,9.0,0,1,0,FTP_DATA
20,6,418431.3562400598,9.6862834054,9.4955656877,8582.344516992,579.5850689326,362.5120474712,0,1,1,FTP_DATA
20,6,87.1267143726,1.5020823282,0.0,14.6599933521,0.0,9.2360530553,0,1,0,FTP_DATA
0,0,331.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,801.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,42655.0,1.0,2.0,0.0,31.0,10.3333333333,0,1,0,SSL
50555,6,105468401.0,16.0,13.0,790.0,576.0,47.3103448276,0,1,0,GMAIL
443,6,90950.0,18.0,23.0,108.0,42352.0,1035.756097561,0,1,0,SSL
22,6,28179411.31735918,1.7805787855,0.0,531.9455210315,0.0,450.019828307,1,1,0,SSH
443,6,5454533.0,11.0,11.0,1966.0,6095.0,366.4090909091,0,0,1,SSL
443,6,1158321.0,14.0,16.0,4028.0,4950.0,299.2666666667,0,0,1,SSL
443,6,1502558.0,50.0,59.0,1563.0,100643.0,937.6697247706,0,0,1,SSL
0,0,277.0,3.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,131687.0,1.0,2.0,46.0,60.0,50.6666666667,1,1,0,GMAIL
50465,6,240.0,5.0,0.0,30.0,0.0,7.2,0,1,0,HTTP
20,6,65514.2129078417,4.6776451077,8.5112029048,7341.8693450322,0.0,572.2134083747,1,1,0,FTP_DATA
0,1,398.6087172088,2.8175712236,2.9254730967,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,50863663.10731971,2.2798064621,0.0,667.7287711618,0.0,375.7616178414,1,1,0,SSH
60994,6,111.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
65214,6,5.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
43232,6,81110758.0,9.0,6.0,1647.0,5919.0,541.0,1,1,0,SSL
0,0,521.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,63789306.0,23.0,26.0,3461.0,5579.0,184.4897959184,0,0,1,GMAIL
0,0,462.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,627.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,17,119999409.0,2345.0,1058.0,88152.0,114738.0,59.6315016162,0,0,0,DNS
443,6,41.0,1.0,3.0,0.0,0.0,0.0,0,1,0,SSL
0,1,834.8223649137,3.9222091058,2.9660370677,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,74.0,1.0,1.0,0.0,0.0,0.0,0,1,0,HTTP
20,6,806842.9113355712,24.3742584959,26.0094236027,93.514725978,47005.1622075395,1012.208537219,0,1,1,FTP_DATA
0,0,48.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
3128,6,90925671.0,15.0,35.0,2798.0,1101.0,77.98,0,0,1,GMAIL
34663,6,1.0,2.0,0.0,0.0,0.0,0.0,0,1,0,HTTP
0,1,1304.6997754441,3.1194856153,5.2812110388,0.0,0.0,0.0,0,0,0,IP_ICMP
3431,6,835.0,1.0,2.0,0.0,0.0,0.0,0,1,0,HTTP
80,6,374.0,1.0,1.0,0.0,0.0,0.0,0,1,0,HTTP
0,0,350.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,17979.0,3.0,3.0,167.0,0.0,27.8333333333,0,0,1,HTTP
22,6,121791842.33091272,5864.1106841394,2996.5395307259,15461674.198420355,84165.3435064881,1879.4792533866,1,1,0,SSH
443,6,17578911.0,47.0,41.0,1286.0,53376.0,623.6022727273,1,1,0,SSL
59014,6,3.0,2.0,0.0,101.0,0.0,98.0,1,1,0,HTTP
22,6,56863922.08216792,2.305195813,0.0,733.5004515502,0.0,451.7382405411,1,1,0,SSH
80,6,414790.0,5.0,4.0,744.0,220.0,107.1111111111,0,0,1,FTP_DATA
22,6,102849903.84609756,4064.0665559105,3622.0084383386,13015922.542439245,112245.2979257994,1247.6996056586,1,1,0,SSH
53,17,114032316.31264876,1268.1834618433,1226.8381614807,54383.2430776323,186445.8853053926,77.3205519943,0,1,0,DNS
53,17,119502296.0,1979.0,1977.0,75460.0,200057.0,69.6544489383,0,0,0,DNS
53,17,541.0,1.0,1.0,22.0,22.0,33.0,0,0,0,DNS
443,6,107966022.0,23.0,22.0,576.0,1959.0,57.6666666667,1,1,0,GMAIL
443,6,6270608.0,10.0,7.0,4319.0,7653.0,704.2352941176,0,0,1,SSL
80,6,327374.0,18.0,27.0,23420.0,1842.0,561.3777777778,0,0,1,HTTP
80,6,19200808.0,29.0,38.0,16018.0,27773.0,653.5970149254,0,0,1,HTTP
22,6,20240302.0,18.0,9.0,2524.0,2995.0,204.4074074074,0,0,1,SSH
20,6,279.4703281609,1.1237694634,3.1911123986,4.9674876037,16.4572893854,6.7865660057,0,1,0,FTP_DATA
20,6,507086.5755444294,7.3241581872,8.3764207268,1128.5204895638,411.7831793611,149.015105233,0,1,1,FTP_DATA
0,0,334.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,17,113979872.0,3.0,4.0,135.0,180.0,51.4285714286,0,0,0,DNS
3128,6,90752311.0,14.0,0.0,1024.0,0.0,101.4285714286,1,1,0,GMAIL
22,6,15388521.571394812,14.4599401341,7.4134103154,3379.9867318246,1046.6451017768,174.5754332767,1,1,1,SSH
22,6,34641059.69468217,1.9186409599,0.0,604.0877566359,0.0,384.1163935103,1,1,0,SSH
20,6,2931802.663915187,11.6103569422,25.2027188576,2807.3347156762,7474.5638579962,384.9930973989,0,1,1,FTP_DATA
443,6,823889.0,33.0,27.0,5010.0,9174.0,236.4,0,0,1,GMAIL
53,17,52220383.0,1031.0,1027.0,38960.0,135894.0,84.9810495627,0,0,0,DNS
8089,6,54.0,2.0,0.0,0.0,0.0,0.0,0,1,0,HTTP
34436,6,85336022.0,6.0,4.0,1098.0,3946.0,559.3,1,1,0,SSL
22,6,143264195.1529246,3937.0934921798,4051.259608861,14419739.15290122,88273.033064321,1229.9926832512,1,1,0,SSH
53263,6,27.0,2.0,0.0,1718.0,0.0,1718.0,1,1,0,HTTP
0,0,128.0,3.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
3128,6,90848170.0,14.0,25.0,3126.0,1737.0,124.6923076923,0,0,1,GMAIL
59249,6,327.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
0,0,130.0,2.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,61282.0,1.0,3.0,0.0,46.0,11.5,0,1,0,SSL
20,6,17.5794837943,1.8638929131,0.0,11.1516107323,0.0,7.5657482663,0,1,0,FTP_DATA
443,6,209664.0,10.0,6.0,2929.0,296.0,201.5625,0,0,1,GMAIL
20,6,917.6916161687,0.8219244873,1.1425451615,5.8536163308,5.5584286294,9.1961096752,0,1,0,FTP_DATA
53,17,118070094.0,1246.0,1243.0,49331.0,162662.0,85.18682,0,0,0,DNS
53,17,119994501.0,1501.0,637.0,57644.0,81295.0,65.0042095416,0,0,0,DNS
3128,6,90355964.0,6.0,8.0,710.0,1228.0,181.2857142857,1,1,0,GMAIL
20,6,612783.1609607718,7.7142580007,5.6228258853,3810.3214026866,238.7892010161,172.0138611884,0,1,1,FTP_DATA
20,6,9708352.515714156,4666.763979756,2279.6950893257,3911387.1181784575,28274.8086967687,620.2614695694,0,1,1,FTP_DATA
443,6,111993787.0,29.0,42.0,4310.0,4044.0,132.7605633803,1,1,0,SSL
39861,6,96692326.0,35.0,18.0,7367.0,6890.0,270.3018867925,1,1,0,SSL
3128,6,90403383.0,14.0,32.0,1102.0,5148.0,136.0,0,1,0,GMAIL
53,17,119930240.0,1200.0,1188.0,47296.0,155189.0,84.8061139028,0,0,0,DNS
443,6,153004.0,4.0,4.0,92.0,92.0,28.75,1,1,0,GMAIL
50315,6,11099.0,6.0,9.0,1707.0,79.0,122.4666666667,1,1,0,SSL
22,6,20499752.049592137,19.6134626239,11.1911577484,1556.299121959,2318.851837129,209.4310156539,1,1,1,SSH
0,0,695.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
20,6,62.6511421339,1.2983419608,1.1045904625,4.7051823098,5.4276945782,8.9518541487,0,1,0,FTP_DATA
54458,6,119729845.0,4747.0,3571.0,11103886.0,98224.0,1346.9052656889,0,1,0,SSH
1650,6,1.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
53,17,4869144.0,85.0,29.0,3873.0,3497.0,65.0614035088,0,0,0,DNS
443,6,11216620.0,16.0,14.0,5452.0,1310.0,225.4,0,0,1,GMAIL
3128,6,118025885.0,209.0,414.0,175814.0,34079.0,337.3948635634,1,1,0,GMAIL
443,6,12608871.0,8.0,4.0,581.0,4344.0,410.4166666667,0,0,1,SSL
22,6,92266465.83587608,145.5911540313,128.0623444638,31106.8628521751,91190.3605590598,315.0135043467,1,1,0,SSH
51463,6,109.0,3.0,0.0,62.0,0.0,31.0,1,1,0,SSL
443,6,139.0,2.0,0.0,12.0,0.0,9.0,0,1,0,SSL
0,0,605.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,17,119804250.0,1041.0,1046.0,41636.0,128008.0,81.3028270244,0,0,0,DNS
22,6,16191498.867404316,13.5447186286,12.162399157,2728.4497879812,2500.2080772919,182.9841645411,1,1,1,SSH
20,6,611.2346772616,0.8129131854,1.5232080675,0.0,0.0,0.0,0,1,0,FTP_DATA
0,0,450.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,328.0,3.0,2.0,0.0,0.0,0.0,0,0,0,IP_ICMP
57316,6,6544438.0,5.0,5.0,410.0,1202.0,161.2,0,1,1,HTTP
53,17,459.0,1.0,2.0,40.0,214.0,98.0,0,0,0,DNS
22,6,40131186.70044652,23.398652554,10.8144422018,4057.716508975,961.9506331784,188.2709819945,1,1,1,SSH
0,1,172.5559086097,2.9794568527,3.1648248029,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,809.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
56133,6,119980069.0,208.0,372.0,336697.0,0.0,582.9879310345,1,1,0,HTTP
53,6,83978675.0,18.0,4.0,294.0,954.0,56.7272727273,0,0,1,DNS
20,6,182699.4247070814,4.9047676557,3.6832814264,2261.712228794,0.0,228.7602178717,0,1,1,FTP_DATA
52649,6,1059.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
80,6,59780351.0,9.0,5.0,670.0,586.0,89.7142857143,0,0,1,HTTP
0,0,265.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,16800175.078173734,19.4579295915,10.0078463918,3013.9087380315,2402.8784149462,175.6345160559,1,1,1,SSH
22,6,8556662.157334877,14.4345462184,11.0421410444,1852.8833457295,1237.8809667925,125.9830989684,1,1,1,SSH
53,17,115297448.43542932,1047.8177010334,1219.0572634275,44914.3890696706,110036.4831807808,70.6850046893,0,0,0,DNS
80,6,61230345.0,7.0,5.0,258.0,236.0,41.1666666667,0,0,1,HTTP
3128,6,98581538.0,1141.0,4090.0,30119.0,5647315.0,1085.343911298,0,0,1,GMAIL
53,17,111743917.32225752,1229.4827421493,1035.7533758516,44945.6474245101,140586.3755919249,88.9725855641,0,1,0,DNS
49323,6,1.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
80,6,36648685.0,7.0,7.0,5166.0,219.0,384.6428571429,0,0,1,HTTP
443,6,119915557.0,27.0,27.0,1363.0,2439.0,73.55556,1,1,0,GMAIL
3128,6,149.0,1.0,5.0,6.0,0.0,2.0,0,1,0,GMAIL
53,17,116809425.0,479.0,476.0,19025.0,60500.0,83.302617801,0,0,0,DNS
20,6,142.1311651483,1.5156496719,0.0,9.1481727077,0.0,11.2592034473,0,1,0,FTP_DATA
22,6,16787423.130636778,18.4588353395,9.6515910162,2017.3938776568,3552.3112735328,253.0156223732,1,1,1,SSH
22,6,35418185.32251043,2.0564988746,0.0,585.5962647962,0.0,439.6999031314,1,1,0,SSH
0,0,323.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
20,6,13571.3492921069,11.5992449975,4.4895711333,15174.8106492487,26.213911971,793.8137150963,0,1,0,FTP_DATA
22,6,21337770.77114905,14.7441570956,5.8254866976,3009.0838291216,114.5342860925,103.0976822292,1,1,1,SSH
53,17,108225969.94754463,955.8248070138,570.7625974272,41494.5505869408,71926.3397955403,75.4731918145,0,0,0,DNS
0,0,483.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,480045.0,10.0,9.0,1034.0,468.0,79.0526315789,0,0,1,GMAIL
80,6,101307252.0,145.0,196.0,25722.0,228675.0,746.0322580645,0,0,1,HTTP
0,1,290.1800646021,3.9846441706,4.0398361989,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,228.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,359.0,2.0,0.0,0.0,0.0,0.0,0,1,0,HTTP
80,6,380631.0,7.0,9.0,549.0,7317.0,491.625,0,0,1,HTTP
49474,6,62812088.0,80.0,13.0,2135.0,3204.0,57.4086021505,0,1,1,GMAIL
0,0,236.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,12407043.830644706,26.1267486213,23.0955704955,1135.7298057424,571.3416946028,49.1291222131,1,1,0,SSH
53,17,60808808.03647832,19.5607067085,5.1942165821,303.1545760618,1008.9043862001,52.7841881141,0,1,1,DNS
53,6,3698552.0,31.0,20.0,4483.0,5218.0,190.2156862745,0,0,1,DNS
22,6,37128385.2697051,2.1061072949,0.0,656.8344117728,0.0,514.7307019113,1,1,0,SSH
53,17,119310276.0,500.0,495.0,19803.0,65645.0,85.9195979899,0,0,0,DNS
0,0,864.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,17,328.0,3.0,1.0,69.0,23.0,28.75,0,0,0,DNS
50350,6,350.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
0,0,364.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,1,651.0754524685,3.0752462501,4.9023187725,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,15969157.261417069,15.7464641466,8.6348638802,2786.3114393292,1109.5683268177,154.070572558,1,1,1,SSH
53,17,13.0,2.0,0.0,90.0,0.0,67.5,0,0,0,DNS
22,6,24218552.34421268,18.5202719362,7.8737029652,2086.74926126,1186.7192723727,145.1917468079,1,1,1,SSH
3128,6,119850580.0,147.0,375.0,20056.0,76761.0,185.9444,1,1,0,GMAIL
443,6,55578562.0,32.0,32.0,2709.0,6404.0,148.578125,1,1,0,GMAIL
22,6,18341260.42552131,1.5648360213,0.0,562.216057805,0.0,339.4537801348,1,1,0,SSH
53,17,118731833.0,832.0,514.0,33205.0,68662.0,75.719910847,0,0,0,DNS
20,6,395.6527922261,0.7270040535,2.3058683696,6.2224954651,5.3164012477,4.8579992986,0,1,0,FTP_DATA
22,6,21840148.705400374,18.0545686226,10.0081616085,2857.9824234081,1043.1442322748,137.3369787219,1,1,1,SSH
54037,6,205.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
443,6,87197.0,1.0,1.0,0.0,0.0,0.0,0,1,0,SSL
443,6,984650.0,25.0,28.0,5156.0,6040.0,211.2452830189,0,0,1,GMAIL
53,17,119698953.0,2250.0,753.0,87164.0,99274.0,62.0939060939,0,0,0,DNS
0,1,214.9108556422,3.2390720414,5.2649892209,0.0,0.0,0.0,0,0,0,IP_ICMP
20,6,468829.3917139577,12.5069647741,9.2072271012,5666.1645718297,495.0621450591,207.0212220231,0,1,1,FTP_DATA
80,6,1382905.0,12.0,15.0,6113.0,1977.0,299.6296296296,0,0,1,HTTP
443,6,91782247.0,182.0,202.0,33969.0,15865.0,130.3619791667,1,1,0,SSL
0,0,33.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,279.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,15841012.206750942,10.7915629071,7.565997095,1098.1256468419,1314.8390392652,113.7865179528,1,1,1,SSH
0,1,64.5076454997,3.2698157635,3.0414042483,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,280.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,3606193.356085121,16.2982261197,10.3906112951,2145.0582030127,1285.5604373554,99.6034132095,1,1,1,SSH
20,6,1187.7799897782,1.8912580941,0.0,13.007758137,0.0,9.9251240579,0,1,0,FTP_DATA
0,0,335.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
0,1,762.4614032221,3.0959715139,4.8817219099,0.0,0.0,0.0,0,0,0,IP_ICMP
0,0,68.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
53,6,1558919.0,19.0,14.0,4525.0,8553.0,396.303030303,0,0,1,DNS
22,6,15494409.951796442,8.2666780915,13.7174273005,1076.7119565784,2790.8655747288,139.9097745139,1,1,1,SSH
52054,6,82.0,15.0,0.0,90.0,0.0,6.4,0,0,0,HTTP
0,0,253.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,106715341.0,18.0,16.0,636.0,1201.0,55.5588235294,1,1,0,GMAIL
53,6,5977895.0,3.0,0.0,576.0,0.0,192.0,0,1,0,DNS
443,6,688980.0,16.0,12.0,2150.0,5138.0,260.2857142857,0,0,1,SSL
53,6,57756015.0,5.0,0.0,1440.0,0.0,345.6,1,1,0,DNS
53,17,119709220.0,4158.0,1435.0,160056.0,180982.0,60.98337,0,0,0,DNS
52044,6,774.0,1.0,5.0,6.0,124.0,22.6666666667,0,1,0,HTTP
0,0,60739.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
3128,6,75860828.0,14.0,4.0,2166.0,0.0,120.6666666667,0,1,0,GMAIL
20,6,1.2329553122,1.6601596233,0.0,804.708301543,0.0,770.8903288142,1,1,0,FTP_DATA
0,1,142.8090716002,3.0793630523,4.9287197559,0.0,0.0,0.0,0,0,0,IP_ICMP
0,1,243.580854018,3.192808361,2.9164098542,0.0,0.0,0.0,0,0,0,IP_ICMP
54024,6,24.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
20,6,1.2968161361,2.32962354,0.0,13.0831658005,0.0,8.6902750267,0,1,0,FTP_DATA
443,6,264.0,1.0,1.0,63.0,0.0,63.0,1,1,0,GMAIL
53,6,28.0,2.0,0.0,0.0,0.0,0.0,0,1,0,DNS
20,6,0.8979315346,2.4200632154,0.0,1248.7170767705,0.0,1304.2754439623,1,1,0,FTP_DATA
443,6,78962.0,8.0,4.0,332.0,1436.0,147.3333333333,0,0,1,SSL
0,0,64.0,3.0,5.0,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,24235857.946146272,1.6250529053,0.0,683.7391074455,0.0,367.0014981456,1,1,0,SSH
443,6,739649.0,9.0,6.0,2213.0,429.0,176.1333333333,0,0,1,SSL
53,17,119787345.0,4338.0,1492.0,164408.0,174198.0,58.087135506,0,0,0,DNS
53,17,119737265.0,1812.0,910.0,71669.0,119159.0,70.12123,0,0,0,DNS
20,6,1277453.9818841962,1.1038580278,3.9508329209,5.0660942492,34.4270198982,6.943046544,0,1,0,FTP_DATA
51179,6,27.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
50296,6,294.0,1.0,2.0,6.0,12.0,8.0,0,1,0,HTTP
